County,Year,Quarter,Period,transaction_count,avg_price,Inflation_Rate,real_avg_price,Region
Antrim and Newtownabbey,2010,1,2010 Q1,217.0,148341.74,3.28,143630.65,Northern Ireland
Antrim and Newtownabbey,2010,2,2010 Q2,245.0,152846.09,3.46,147734.48,Northern Ireland
Antrim and Newtownabbey,2010,3,2010 Q3,269.0,156920.99,3.09,152217.47,Northern Ireland
Antrim and Newtownabbey,2010,4,2010 Q4,270.0,138840.47,3.38,134301.09,Northern Ireland
Antrim and Newtownabbey,2011,1,2011 Q1,205.0,134269.2,4.12,128956.2,Northern Ireland
Antrim and Newtownabbey,2011,2,2011 Q2,224.0,131161.5,4.38,125657.69,Northern Ireland
Antrim and Newtownabbey,2011,3,2011 Q3,283.0,132028.32,4.71,126089.5,Northern Ireland
Antrim and Newtownabbey,2011,4,2011 Q4,252.0,125074.49,4.65,119516.95,Northern Ireland
Antrim and Newtownabbey,2012,1,2012 Q1,317.0,121151.57,3.49,117065.97,Northern Ireland
Antrim and Newtownabbey,2012,2,2012 Q2,275.0,125496.51,2.76,122125.84,Northern Ireland
Antrim and Newtownabbey,2012,3,2012 Q3,304.0,127982.4,2.41,124970.61,Northern Ireland
Antrim and Newtownabbey,2012,4,2012 Q4,343.0,122768.78,2.67,119576.1,Northern Ireland
Antrim and Newtownabbey,2013,1,2013 Q1,291.0,112434.74,2.78,109393.6,Northern Ireland
Antrim and Newtownabbey,2013,2,2013 Q2,330.0,114803.22,2.68,111806.8,Northern Ireland
Antrim and Newtownabbey,2013,3,2013 Q3,359.0,115157.55,2.71,112119.12,Northern Ireland
Antrim and Newtownabbey,2013,4,2013 Q4,383.0,118065.32,2.1,115636.94,Northern Ireland
Antrim and Newtownabbey,2014,1,2014 Q1,404.0,122075.21,1.74,119987.43,Northern Ireland
Antrim and Newtownabbey,2014,2,2014 Q2,486.0,128030.07,1.72,125865.19,Northern Ireland
Antrim and Newtownabbey,2014,3,2014 Q3,471.0,134305.34,1.46,132372.7,Northern Ireland
Antrim and Newtownabbey,2014,4,2014 Q4,479.0,135749.49,0.94,134485.33,Northern Ireland
Antrim and Newtownabbey,2015,1,2015 Q1,385.0,144855.15,0.1,144710.44,Northern Ireland
Antrim and Newtownabbey,2015,2,2015 Q2,478.0,155286.39,-0.02,155317.45,Northern Ireland
Antrim and Newtownabbey,2015,3,2015 Q3,571.0,158381.46,0.01,158365.62,Northern Ireland
Antrim and Newtownabbey,2015,4,2015 Q4,542.0,159156.55,0.07,159045.22,Northern Ireland
Antrim and Newtownabbey,2016,1,2016 Q1,538.0,146682.7,0.35,146171.1,Northern Ireland
Antrim and Newtownabbey,2016,2,2016 Q2,402.0,152246.17,0.35,151715.17,Northern Ireland
Antrim and Newtownabbey,2016,3,2016 Q3,570.0,144100.28,0.73,143055.97,Northern Ireland
Antrim and Newtownabbey,2016,4,2016 Q4,545.0,141085.23,1.21,139398.51,Northern Ireland
Antrim and Newtownabbey,2017,1,2017 Q1,509.0,140716.93,2.14,137768.68,Northern Ireland
Antrim and Newtownabbey,2017,2,2017 Q2,634.0,144885.98,2.74,141021.98,Northern Ireland
Antrim and Newtownabbey,2017,3,2017 Q3,600.0,139534.02,2.82,135707.08,Northern Ireland
Antrim and Newtownabbey,2017,4,2017 Q4,667.0,139097.77,3.02,135020.16,Northern Ireland
Antrim and Newtownabbey,2018,1,2018 Q1,443.0,141632.67,2.72,137882.27,Northern Ireland
Antrim and Newtownabbey,2018,2,2018 Q2,590.0,144597.45,2.42,141180.87,Northern Ireland
Antrim and Newtownabbey,2018,3,2018 Q3,647.0,145916.26,2.52,142329.56,Northern Ireland
Antrim and Newtownabbey,2018,4,2018 Q4,647.0,148739.8,2.27,145438.35,Northern Ireland
Antrim and Newtownabbey,2019,1,2019 Q1,499.0,149342.5,1.88,146586.67,Northern Ireland
Antrim and Newtownabbey,2019,2,2019 Q2,564.0,149173.47,2.05,146176.84,Northern Ireland
Antrim and Newtownabbey,2019,3,2019 Q3,618.0,150065.22,1.83,147368.38,Northern Ireland
Antrim and Newtownabbey,2019,4,2019 Q4,573.0,158287.5,1.41,156086.68,Northern Ireland
Antrim and Newtownabbey,2020,1,2020 Q1,493.0,158091.05,1.67,155494.3,Northern Ireland
Antrim and Newtownabbey,2020,2,2020 Q2,198.0,154565.21,0.62,153612.81,Northern Ireland
Antrim and Newtownabbey,2020,3,2020 Q3,418.0,153300.46,0.6,152386.14,Northern Ireland
Antrim and Newtownabbey,2020,4,2020 Q4,756.0,156183.48,0.53,155360.07,Northern Ireland
Antrim and Newtownabbey,2021,1,2021 Q1,655.0,164443.76,0.61,163446.73,Northern Ireland
Antrim and Newtownabbey,2021,2,2021 Q2,727.0,171993.7,2.05,168538.66,Northern Ireland
