County,transaction_count,median_price,avg_price
Carlow,8321.0,165000.0,189149.3916933061
Cavan,11243.0,130000.0,151863.9550084497
Clare,16941.0,164500.0,198764.95518033172
Cork,83336.0,233000.0,268928.6478520688
Donegal,20127.0,120000.0,142940.83755552242
Dublin,236850.0,346000.0,484111.56650605873
Galway,36578.0,210000.0,245679.17141068404
Kerry,20777.0,160300.0,197970.02765365547
Kildare,40799.0,287000.0,319561.7905683963
Kilkenny,12053.0,190000.0,230078.26318426945
Laois,12447.0,171000.0,201759.3748630192
Leitrim,6689.0,105000.0,128295.08520705636
Limerick,27832.0,179725.0,212064.1198911325
Longford,6461.0,100000.0,128351.68646184802
Louth,20913.0,200000.0,228892.0021350356
Mayo,18093.0,132500.0,156504.18700491902
Meath,31304.0,263396.03500000003,287197.73368323536
Monaghan,5962.0,140000.0,166952.2757363301
Offaly,9620.0,160000.0,179405.70514345114
Roscommon,10722.0,110000.0,133987.06210221973
Sligo,11029.0,132500.0,164782.8847474839
Tipperary,20227.0,145000.0,171567.09122064567
Waterford,20705.0,169173.91,200843.10298382037
Westmeath,14581.0,170000.0,198487.9897709348
Wexford,26345.0,177160.0,205142.97326741315
Wicklow,25405.0,321000.0,398973.92292737646
Antrim And Newtownabbey,30205.0,,162149.05
Ards And North Down,35499.0,,183128.19
"Armagh City, Banbridge And Craigavon",37397.0,,146588.33
Belfast,16404.0,,127363.36
Causeway Coast And Glens,26668.0,,164913.27
Derry City And Strabane,20938.0,,140371.19
Fermanagh And Omagh,13410.0,,153023.22
Lisburn And Castlereagh,32115.0,,189136.4
Mid Ulster,17437.0,,151570.97
Mid And East Antrim,25846.0,,143337.18
"Newry, Mourne And Down",24168.0,,167450.99
