County,transaction_count,median_price,avg_price
Carlow,8321,165000.0,189149.3916933061
Cavan,11243,130000.0,151863.9550084497
Clare,16941,164500.0,198764.95518033174
Cork,83336,233000.0,268928.64785206877
Donegal,20127,120000.0,142940.83755552242
Dublin,236850,346000.0,484111.56650605873
Galway,36578,210000.0,245679.17141068404
Kerry,20777,160300.0,197970.02765365547
Kildare,40799,287000.0,319561.7905683963
Kilkenny,12053,190000.0,230078.26318426945
Laois,12447,171000.0,201759.3748630192
Leitrim,6689,105000.0,128295.08520705637
Limerick,27832,179725.0,212064.11989113252
Longford,6461,100000.0,128351.68646184802
Louth,20913,200000.0,228892.0021350356
Mayo,18093,132500.0,156504.18700491902
Meath,31304,263396.03500000003,287197.73368323536
Monaghan,5962,140000.0,166952.2757363301
Offaly,9620,160000.0,179405.70514345114
Roscommon,10722,110000.0,133987.06210221973
Sligo,11029,132500.0,164782.8847474839
Tipperary,20227,145000.0,171567.09122064567
Waterford,20705,169173.91,200843.10298382034
Westmeath,14581,170000.0,198487.98977093477
Wexford,26345,177160.0,205142.97326741315
Wicklow,25405,321000.0,398973.92292737646
