Sale Year/Quarter,Antrim and Newtownabbey,Antrim and Newtownabbey HPI,Antrim and Newtownabbey Standardised Price,Ards and North Down,Ards and North Down HPI,Ards and North Down Standardised Price,"Armagh City, Banbridge and Craigavon","Armagh City, Banbridge and Craigavon HPI","Armagh City, Banbridge and Craigavon Standardised Price",Belfast,Belfast HPI,Belfast Standardised Price,Causeway Coast and Glens,Causeway Coast and Glens HPI,Causeway Coast and Glens Standardised Price,Derry City and Strabane,Derry City and Strabane HPI,Derry City and Strabane Standardised Price,Fermanagh and Omagh,Fermanagh and Omagh HPI,Fermanagh and Omagh Standardised Price,Lisburn and Castlereagh,Lisburn and Castlereagh HPI,Lisburn and Castlereagh Standardised Price,Mid and East Antrim,Mid and East Antrim HPI,Mid and East Antrim Standardised Price,Mid Ulster,Mid Ulster Standardised HPI,Mid Ulster Standardised Price,"Newry, Mourne and Down","Newry, Mourne and Down HPI","Newry, Mourne and Down Standardised Price"
Q1 2010,217,79.3,"£131,637",286,86.8,"£157,804",261,77.9,"£118,696",599,81.1,"£121,149",191,69.9,"£127,378",137,80.8,"£114,149",80,76.7,"£120,291",212,79.9,"£154,880",211,78.7,"£115,431",140,75.1,"£115,280",170,78.7,"£136,482"
Q2 2010,245,78.4,"£130,115",269,86.6,"£157,317",298,75.2,"£114,624",604,80.0,"£119,520",210,71.6,"£130,477",178,75.7,"£107,006",95,74.5,"£116,875",244,78.8,"£152,782",238,83.7,"£122,849",150,74.5,"£114,396",165,77.0,"£133,631"
Q3 2010,269,78.8,"£130,822",286,85.9,"£156,176",224,75.8,"£115,533",534,77.5,"£115,719",400,65.9,"£120,231",178,74.4,"£105,141",85,77.8,"£122,020",238,79.4,"£153,928",189,79.5,"£116,710",132,73.0,"£112,108",171,76.3,"£132,385"
Q4 2010,270,71.9,"£119,289",305,79.5,"£144,421",299,72.8,"£110,960",606,71.5,"£106,795",249,68.0,"£123,963",180,69.4,"£98,055",116,70.5,"£110,651",231,74.2,"£143,992",229,75.7,"£111,101",148,68.9,"£105,850",181,73.4,"£127,367"
Q1 2011,205,69.1,"£114,662",235,75.9,"£137,971",254,70.2,"£107,017",585,67.5,"£100,857",189,65.7,"£119,829",166,72.6,"£102,618",85,69.8,"£109,486",209,70.1,"£135,873",195,65.9,"£96,632",124,70.4,"£108,122",154,69.4,"£120,414"
Q2 2011,224,69.7,"£115,775",294,72.5,"£131,820",288,65.3,"£99,523",573,67.7,"£101,168",201,62.5,"£113,883",207,67.6,"£95,618",101,75.7,"£118,689",188,66.5,"£128,964",204,72.3,"£106,126",160,67.5,"£103,614",180,69.2,"£120,128"
Q3 2011,283,69.8,"£115,794",357,72.3,"£131,495",347,66.7,"£101,644",677,66.9,"£100,009",273,58.8,"£107,207",210,65.1,"£92,037",121,66.5,"£104,332",301,67.4,"£130,632",277,70.6,"£103,529",157,64.3,"£98,644",205,67.9,"£117,806"
Q4 2011,252,64.6,"£107,268",342,73.2,"£133,111",327,63.4,"£96,701",714,64.8,"£96,769",236,60.4,"£110,056",179,61.5,"£86,969",113,65.0,"£102,010",270,65.9,"£127,860",246,68.4,"£100,409",183,61.2,"£93,915",216,67.0,"£116,301"
Q1 2012,317,60.9,"£101,086",359,66.8,"£121,415",337,60.8,"£92,696",744,59.0,"£88,174",215,54.4,"£99,120",181,63.1,"£89,167",108,61.8,"£96,862",313,62.4,"£120,938",243,63.8,"£93,671",170,58.5,"£89,864",188,63.4,"£110,006"
Q2 2012,275,61.2,"£101,666",315,65.7,"£119,366",343,60.4,"£92,021",700,60.1,"£89,830",236,56.1,"£102,290",194,61.9,"£87,433",115,59.9,"£93,901",281,61.9,"£120,117",295,66.3,"£97,300",148,61.6,"£94,600",225,59.1,"£102,473"
Q3 2012,304,61.0,"£101,308",411,65.7,"£119,388",398,56.1,"£85,539",788,59.2,"£88,415",277,52.8,"£96,193",229,58.7,"£82,973",108,60.0,"£94,083",307,61.9,"£120,085",311,62.8,"£92,157",197,58.0,"£89,033",228,59.0,"£102,302"
Q4 2012,343,59.7,"£99,135",424,64.4,"£117,091",441,54.7,"£83,316",797,57.1,"£85,242",279,52.1,"£95,050",259,58.4,"£82,611",140,56.4,"£88,484",326,61.4,"£119,074",278,61.7,"£90,576",205,55.7,"£85,549",279,57.8,"£100,329"
Q1 2013,291,57.6,"£95,681",420,62.2,"£113,118",373,55.1,"£83,944",729,55.5,"£82,847",280,51.0,"£93,050",233,56.1,"£79,233",127,57.9,"£90,749",297,59.5,"£115,484",280,60.6,"£88,957",178,57.1,"£87,665",232,54.6,"£94,780"
Q2 2013,330,58.8,"£97,655",466,63.0,"£114,577",407,56.1,"£85,520",816,57.2,"£85,459",335,51.6,"£94,002",248,57.9,"£81,847",136,57.4,"£90,046",395,60.1,"£116,614",283,61.1,"£89,632",198,58.8,"£90,313",261,55.0,"£95,498"
Q3 2013,359,59.3,"£98,358",491,63.8,"£115,947",434,56.6,"£86,250",907,59.2,"£88,418",308,52.6,"£95,845",260,58.6,"£82,780",166,62.0,"£97,324",454,61.2,"£118,670",334,60.9,"£89,306",212,60.3,"£92,607",290,56.2,"£97,455"
Q4 2013,383,59.8,"£99,298",633,64.6,"£117,348",564,58.7,"£89,438","1,108",60.3,"£90,114",408,52.9,"£96,383",271,58.2,"£82,253",171,56.6,"£88,813",514,61.3,"£118,883",391,62.0,"£90,942",240,59.8,"£91,757",374,55.0,"£95,424"
Q1 2014,404,60.9,"£101,064",565,65.8,"£119,665",437,59.1,"£90,123",994,60.7,"£90,702",335,51.0,"£93,026",323,58.5,"£82,671",227,58.4,"£91,653",481,62.0,"£120,276",343,63.6,"£93,322",213,62.8,"£96,340",311,59.9,"£103,962"
Q2 2014,486,62.8,"£104,276",645,67.1,"£122,036",558,60.3,"£91,970","1,104",63.7,"£95,102",444,54.8,"£100,003",302,59.2,"£83,685",183,62.5,"£98,056",496,64.8,"£125,620",400,64.3,"£94,321",275,63.2,"£96,996",373,60.9,"£105,589"
Q3 2014,471,64.2,"£106,600",702,68.1,"£123,749",552,61.8,"£94,216","1,213",65.3,"£97,479",432,57.2,"£104,286",354,61.7,"£87,249",224,62.0,"£97,246",529,63.9,"£123,961",361,65.4,"£96,013",249,63.1,"£96,868",402,62.9,"£109,125"
Q4 2014,479,64.5,"£107,134",670,69.2,"£125,811",688,63.2,"£96,388","1,194",66.3,"£99,057",501,56.3,"£102,673",344,63.1,"£89,136",238,62.2,"£97,578",537,66.9,"£129,834",444,65.0,"£95,354",300,67.2,"£103,215",458,62.2,"£107,969"
Q1 2015,385,64.8,"£107,595",494,70.0,"£127,289",515,63.7,"£97,158",962,66.7,"£99,621",378,55.5,"£101,205",311,64.2,"£90,699",155,60.6,"£95,057",439,66.1,"£128,271",367,64.7,"£94,920",246,68.5,"£105,179",366,61.9,"£107,360"
Q2 2015,478,67.5,"£112,015",599,70.9,"£128,859",566,65.2,"£99,364","1,096",68.4,"£102,113",401,58.8,"£107,197",342,64.0,"£90,407",189,63.4,"£99,427",554,68.3,"£132,381",430,68.2,"£100,043",278,71.3,"£109,501",356,64.0,"£111,082"
Q3 2015,571,68.5,"£113,641",693,73.0,"£132,602",613,67.3,"£102,656","1,174",71.2,"£106,369",449,61.1,"£111,333",345,66.5,"£93,997",202,67.1,"£105,300",584,69.4,"£134,665",455,67.8,"£99,538",296,71.3,"£109,472",458,66.8,"£115,910"
Q4 2015,542,69.2,"£114,815",672,73.2,"£133,024",683,69.0,"£105,158","1,305",71.3,"£106,529",496,60.8,"£110,842",376,66.2,"£93,591",243,70.7,"£110,837",591,70.5,"£136,719",453,69.2,"£101,597",334,70.7,"£108,583",482,67.4,"£116,968"
Q1 2016,538,68.1,"£112,998",638,72.9,"£132,557",692,69.6,"£106,155","1,250",70.0,"£104,613",594,63.1,"£114,999",382,68.4,"£96,724",241,69.5,"£109,084",576,70.1,"£135,998",472,69.2,"£101,477",334,75.0,"£115,148",438,66.4,"£115,227"
Q2 2016,402,72.2,"£119,860",575,74.3,"£134,994",534,72.0,"£109,747","1,015",75.2,"£112,366",409,63.1,"£115,111",275,69.6,"£98,336",186,69.5,"£109,094",506,73.4,"£142,310",372,72.7,"£106,737",264,73.0,"£112,002",347,68.4,"£118,616"
Q3 2016,570,73.8,"£122,503",716,74.3,"£134,994",644,71.3,"£108,709","1,147",74.9,"£111,957",486,65.0,"£118,436",368,71.6,"£101,240",211,71.3,"£111,766",612,74.1,"£143,647",484,74.3,"£109,039",311,76.0,"£116,718",425,70.5,"£122,378"
Q4 2016,545,73.8,"£122,523",698,74.7,"£135,717",706,72.0,"£109,787","1,150",75.1,"£112,262",516,65.9,"£120,191",356,72.9,"£102,985",243,71.6,"£112,333",621,73.2,"£141,908",442,74.4,"£109,095",345,75.7,"£116,180",466,69.9,"£121,356"
Q1 2017,509,72.9,"£121,026",541,74.7,"£135,760",600,73.6,"£112,234","1,058",73.9,"£110,359",381,66.1,"£120,592",333,73.8,"£104,309",207,70.7,"£110,953",505,72.9,"£141,388",382,72.9,"£107,017",303,75.8,"£116,332",392,71.2,"£123,535"
Q2 2017,634,75.1,"£124,676",709,76.0,"£138,152",686,73.4,"£111,968","1,139",75.7,"£113,149",517,67.2,"£122,492",379,74.2,"£104,921",222,73.6,"£115,507",628,74.6,"£144,659",451,75.3,"£110,416",328,77.4,"£118,887",432,71.7,"£124,432"
Q3 2017,600,75.4,"£125,210",680,77.2,"£140,345",738,73.8,"£112,544","1,286",77.4,"£115,554",612,68.6,"£125,052",409,76.6,"£108,284",275,74.6,"£117,042",678,75.6,"£146,548",478,76.5,"£112,251",326,77.0,"£118,207",465,71.6,"£124,242"
Q4 2017,667,74.4,"£123,434",760,76.6,"£139,228",825,75.2,"£114,645","1,220",77.0,"£114,975",611,69.0,"£125,765",438,79.7,"£112,661",288,75.6,"£118,540",663,75.2,"£145,762",484,77.1,"£113,136",308,79.3,"£121,705",539,73.4,"£127,430"
Q1 2018,443,75.3,"£125,073",588,77.8,"£141,407",611,75.0,"£114,378","1,062",77.6,"£115,963",470,67.6,"£123,275",361,76.8,"£108,516",234,76.0,"£119,136",564,75.8,"£147,063",374,77.3,"£113,453",308,80.9,"£124,246",460,76.0,"£131,900"
Q2 2018,590,76.3,"£126,651",704,78.1,"£142,005",711,75.7,"£115,364","1,148",79.1,"£118,148",529,70.8,"£129,113",411,80.4,"£113,706",249,77.5,"£121,526",593,77.5,"£150,280",458,77.9,"£114,275",306,79.7,"£122,426",502,73.8,"£128,094"
Q3 2018,647,78.4,"£130,201",760,79.5,"£144,543",745,75.5,"£115,068","1,229",81.3,"£121,513",550,72.2,"£131,614",407,81.2,"£114,787",279,77.9,"£122,268",605,78.6,"£152,536",473,79.8,"£117,145",343,80.3,"£123,247",536,77.0,"£133,667"
Q4 2018,647,79.5,"£131,920",751,79.7,"£144,903",759,77.5,"£118,209","1,280",83.0,"£124,027",558,72.9,"£132,956",433,85.5,"£120,852",288,79.2,"£124,295",662,79.3,"£153,822",503,78.9,"£115,778",392,83.0,"£127,354",505,77.9,"£135,160"
Q1 2019,499,78.4,"£130,180",551,78.9,"£143,383",554,78.1,"£119,088",959,81.3,"£121,398",403,73.7,"£134,320",349,82.4,"£116,525",217,79.7,"£125,047",513,78.8,"£152,810",464,78.7,"£115,443",301,81.1,"£124,451",379,77.0,"£133,529"
Q2 2019,564,78.6,"£130,442",676,80.2,"£145,836",719,77.5,"£118,209","1,152",82.0,"£122,559",488,74.0,"£134,940",393,84.1,"£118,828",251,79.0,"£123,881",622,80.6,"£156,249",484,80.0,"£117,383",377,82.4,"£126,452",482,79.6,"£138,156"
Q3 2019,618,81.5,"£135,328",843,82.0,"£149,121",735,80.3,"£122,487","1,254",84.4,"£126,056",552,76.1,"£138,734",442,81.3,"£114,965",274,82.9,"£130,046",661,81.4,"£157,852",549,80.6,"£118,280",369,83.4,"£128,114",478,80.7,"£139,936"
