County,Year,Quarter,Period,transaction_count,avg_price
Antrim and Newtownabbey,2010,1,2010 Q1,217.0,148341.7353
Antrim and Newtownabbey,2010,2,2010 Q2,245.0,152846.09050000002
Antrim and Newtownabbey,2010,3,2010 Q3,269.0,156920.989
Antrim and Newtownabbey,2010,4,2010 Q4,270.0,138840.46709999998
Antrim and Newtownabbey,2011,1,2011 Q1,205.0,134269.202
Antrim and Newtownabbey,2011,2,2011 Q2,224.0,131161.4975
Antrim and Newtownabbey,2011,3,2011 Q3,283.0,132028.3188
Antrim and Newtownabbey,2011,4,2011 Q4,252.0,125074.488
Antrim and Newtownabbey,2012,1,2012 Q1,317.0,121151.571
Antrim and Newtownabbey,2012,2,2012 Q2,275.0,125496.5104
Antrim and Newtownabbey,2012,3,2012 Q3,304.0,127982.39640000001
Antrim and Newtownabbey,2012,4,2012 Q4,343.0,122768.784
Antrim and Newtownabbey,2013,1,2013 Q1,291.0,112434.7431
Antrim and Newtownabbey,2013,2,2013 Q2,330.0,114803.218
Antrim and Newtownabbey,2013,3,2013 Q3,359.0,115157.5464
Antrim and Newtownabbey,2013,4,2013 Q4,383.0,118065.322
Antrim and Newtownabbey,2014,1,2014 Q1,404.0,122075.2056
Antrim and Newtownabbey,2014,2,2014 Q2,486.0,128030.0728
Antrim and Newtownabbey,2014,3,2014 Q3,471.0,134305.34
Antrim and Newtownabbey,2014,4,2014 Q4,479.0,135749.4914
Antrim and Newtownabbey,2015,1,2015 Q1,385.0,144855.1485
Antrim and Newtownabbey,2015,2,2015 Q2,478.0,155286.39450000002
Antrim and Newtownabbey,2015,3,2015 Q3,571.0,158381.46169999999
Antrim and Newtownabbey,2015,4,2015 Q4,542.0,159156.553
Antrim and Newtownabbey,2016,1,2016 Q1,538.0,146682.70380000002
Antrim and Newtownabbey,2016,2,2016 Q2,402.0,152246.172
Antrim and Newtownabbey,2016,3,2016 Q3,570.0,144100.27889999998
Antrim and Newtownabbey,2016,4,2016 Q4,545.0,141085.2345
Antrim and Newtownabbey,2017,1,2017 Q1,509.0,140716.9302
Antrim and Newtownabbey,2017,2,2017 Q2,634.0,144885.9796
Antrim and Newtownabbey,2017,3,2017 Q3,600.0,139534.024
Antrim and Newtownabbey,2017,4,2017 Q4,667.0,139097.7746
Antrim and Newtownabbey,2018,1,2018 Q1,443.0,141632.66520000002
Antrim and Newtownabbey,2018,2,2018 Q2,590.0,144597.4467
Antrim and Newtownabbey,2018,3,2018 Q3,647.0,145916.2607
Antrim and Newtownabbey,2018,4,2018 Q4,647.0,148739.8
Antrim and Newtownabbey,2019,1,2019 Q1,499.0,149342.496
Antrim and Newtownabbey,2019,2,2019 Q2,564.0,149173.4712
Antrim and Newtownabbey,2019,3,2019 Q3,618.0,150065.2192
Antrim and Newtownabbey,2019,4,2019 Q4,573.0,158287.4952
Antrim and Newtownabbey,2020,1,2020 Q1,493.0,158091.048
Antrim and Newtownabbey,2020,2,2020 Q2,198.0,154565.2128
Antrim and Newtownabbey,2020,3,2020 Q3,418.0,153300.4554
Antrim and Newtownabbey,2020,4,2020 Q4,756.0,156183.4846
Antrim and Newtownabbey,2021,1,2021 Q1,655.0,164443.755
Antrim and Newtownabbey,2021,2,2021 Q2,727.0,171993.7008
Antrim and Newtownabbey,2021,3,2021 Q3,763.0,177641.2377
Antrim and Newtownabbey,2021,4,2021 Q4,603.0,179625.45630000002
Antrim and Newtownabbey,2022,1,2022 Q1,506.0,185774.7232
Antrim and Newtownabbey,2022,2,2022 Q2,559.0,192168.567
Antrim and Newtownabbey,2022,3,2022 Q3,582.0,197001.24000000002
Antrim and Newtownabbey,2022,4,2022 Q4,676.0,193622.6736
Antrim and Newtownabbey,2023,1,2023 Q1,459.0,187983.67500000002
Antrim and Newtownabbey,2023,2,2023 Q2,482.0,192011.55550000002
Antrim and Newtownabbey,2023,3,2023 Q3,553.0,201799.9776
Antrim and Newtownabbey,2023,4,2023 Q4,574.0,197894.161
Antrim and Newtownabbey,2024,1,2024 Q1,451.0,202637.1402
Antrim and Newtownabbey,2024,2,2024 Q2,511.0,209440.20479999998
Antrim and Newtownabbey,2024,3,2024 Q3,631.0,217966.3785
Antrim and Newtownabbey,2024,4,2024 Q4,613.0,223921.7376
Antrim and Newtownabbey,2025,1,2025 Q1,599.0,227086.12799999997
Antrim and Newtownabbey,2025,2,2025 Q2,437.0,223124.58239999998
Antrim and Newtownabbey,2025,3,2025 Q3,530.0,226448.2494
Ards and North Down,2010,1,2010 Q1,286.0,177829.3276
Ards and North Down,2010,2,2010 Q2,269.0,184800.27990000002
Ards and North Down,2010,3,2010 Q3,286.0,187333.112
Ards and North Down,2010,4,2010 Q4,305.0,168091.60189999998
Ards and North Down,2011,1,2011 Q1,235.0,161564.041
Ards and North Down,2011,2,2011 Q2,294.0,149338.878
Ards and North Down,2011,3,2011 Q3,357.0,149930.59900000002
Ards and North Down,2011,4,2011 Q4,342.0,155207.42599999998
Ards and North Down,2012,1,2012 Q1,359.0,145515.87749999997
