"Statistic Label","Month","Detailed Sub Indices","UNIT","VALUE"
"Percentage Change over 12 months for Consumer Price Index","2010 January","All items","%","-3.9"
"Percentage Change over 12 months for Consumer Price Index","2010 February","All items","%","-3.2"
"Percentage Change over 12 months for Consumer Price Index","2010 March","All items","%","-3"
"Percentage Change over 12 months for Consumer Price Index","2010 April","All items","%","-2.1"
"Percentage Change over 12 months for Consumer Price Index","2010 May","All items","%","-1"
"Percentage Change over 12 months for Consumer Price Index","2010 June","All items","%","-0.9"
"Percentage Change over 12 months for Consumer Price Index","2010 July","All items","%","-0.1"
"Percentage Change over 12 months for Consumer Price Index","2010 August","All items","%","0.3"
"Percentage Change over 12 months for Consumer Price Index","2010 September","All items","%","0.4"
"Percentage Change over 12 months for Consumer Price Index","2010 October","All items","%","0.8"
"Percentage Change over 12 months for Consumer Price Index","2010 November","All items","%","0.6"
"Percentage Change over 12 months for Consumer Price Index","2010 December","All items","%","1.4"
"Percentage Change over 12 months for Consumer Price Index","2011 January","All items","%","1.7"
"Percentage Change over 12 months for Consumer Price Index","2011 February","All items","%","2.2"
"Percentage Change over 12 months for Consumer Price Index","2011 March","All items","%","2.9"
"Percentage Change over 12 months for Consumer Price Index","2011 April","All items","%","3.2"
"Percentage Change over 12 months for Consumer Price Index","2011 May","All items","%","2.7"
"Percentage Change over 12 months for Consumer Price Index","2011 June","All items","%","2.7"
"Percentage Change over 12 months for Consumer Price Index","2011 July","All items","%","2.7"
"Percentage Change over 12 months for Consumer Price Index","2011 August","All items","%","2"
"Percentage Change over 12 months for Consumer Price Index","2011 September","All items","%","2.6"
"Percentage Change over 12 months for Consumer Price Index","2011 October","All items","%","2.8"
"Percentage Change over 12 months for Consumer Price Index","2011 November","All items","%","2.9"
"Percentage Change over 12 months for Consumer Price Index","2011 December","All items","%","2.4"
"Percentage Change over 12 months for Consumer Price Index","2012 January","All items","%","2.1"
"Percentage Change over 12 months for Consumer Price Index","2012 February","All items","%","2.1"
"Percentage Change over 12 months for Consumer Price Index","2012 March","All items","%","2.2"
"Percentage Change over 12 months for Consumer Price Index","2012 April","All items","%","2"
"Percentage Change over 12 months for Consumer Price Index","2012 May","All items","%","1.7"
"Percentage Change over 12 months for Consumer Price Index","2012 June","All items","%","1.7"
"Percentage Change over 12 months for Consumer Price Index","2012 July","All items","%","1.6"
"Percentage Change over 12 months for Consumer Price Index","2012 August","All items","%","2.1"
"Percentage Change over 12 months for Consumer Price Index","2012 September","All items","%","1.6"
"Percentage Change over 12 months for Consumer Price Index","2012 October","All items","%","1.2"
"Percentage Change over 12 months for Consumer Price Index","2012 November","All items","%","0.9"
"Percentage Change over 12 months for Consumer Price Index","2012 December","All items","%","1.1"
"Percentage Change over 12 months for Consumer Price Index","2013 January","All items","%","1.2"
"Percentage Change over 12 months for Consumer Price Index","2013 February","All items","%","1.1"
"Percentage Change over 12 months for Consumer Price Index","2013 March","All items","%","0.6"
"Percentage Change over 12 months for Consumer Price Index","2013 April","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2013 May","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2013 June","All items","%","0.6"
"Percentage Change over 12 months for Consumer Price Index","2013 July","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2013 August","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2013 September","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2013 October","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2013 November","All items","%","0.4"
"Percentage Change over 12 months for Consumer Price Index","2013 December","All items","%","0.2"
"Percentage Change over 12 months for Consumer Price Index","2014 January","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2014 February","All items","%","0"
"Percentage Change over 12 months for Consumer Price Index","2014 March","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2014 April","All items","%","0.2"
"Percentage Change over 12 months for Consumer Price Index","2014 May","All items","%","0.4"
"Percentage Change over 12 months for Consumer Price Index","2014 June","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2014 July","All items","%","0.2"
"Percentage Change over 12 months for Consumer Price Index","2014 August","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2014 September","All items","%","0.4"
"Percentage Change over 12 months for Consumer Price Index","2014 October","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2014 November","All items","%","0"
"Percentage Change over 12 months for Consumer Price Index","2014 December","All items","%","-0.2"
"Percentage Change over 12 months for Consumer Price Index","2015 January","All items","%","-0.6"
"Percentage Change over 12 months for Consumer Price Index","2015 February","All items","%","-0.6"
"Percentage Change over 12 months for Consumer Price Index","2015 March","All items","%","-0.6"
"Percentage Change over 12 months for Consumer Price Index","2015 April","All items","%","-0.7"
"Percentage Change over 12 months for Consumer Price Index","2015 May","All items","%","-0.4"
"Percentage Change over 12 months for Consumer Price Index","2015 June","All items","%","-0.2"
"Percentage Change over 12 months for Consumer Price Index","2015 July","All items","%","-0.2"
"Percentage Change over 12 months for Consumer Price Index","2015 August","All items","%","-0.1"
"Percentage Change over 12 months for Consumer Price Index","2015 September","All items","%","-0.2"
"Percentage Change over 12 months for Consumer Price Index","2015 October","All items","%","-0.1"
"Percentage Change over 12 months for Consumer Price Index","2015 November","All items","%","-0.2"
"Percentage Change over 12 months for Consumer Price Index","2015 December","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2016 January","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2016 February","All items","%","-0.1"
"Percentage Change over 12 months for Consumer Price Index","2016 March","All items","%","-0.4"
"Percentage Change over 12 months for Consumer Price Index","2016 April","All items","%","-0.1"
"Percentage Change over 12 months for Consumer Price Index","2016 May","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2016 June","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2016 July","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2016 August","All items","%","0"
"Percentage Change over 12 months for Consumer Price Index","2016 September","All items","%","-0.1"
"Percentage Change over 12 months for Consumer Price Index","2016 October","All items","%","-0.2"
"Percentage Change over 12 months for Consumer Price Index","2016 November","All items","%","0"
"Percentage Change over 12 months for Consumer Price Index","2016 December","All items","%","0"
"Percentage Change over 12 months for Consumer Price Index","2017 January","All items","%","0.4"
"Percentage Change over 12 months for Consumer Price Index","2017 February","All items","%","0.6"
"Percentage Change over 12 months for Consumer Price Index","2017 March","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2017 April","All items","%","1"
"Percentage Change over 12 months for Consumer Price Index","2017 May","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2017 June","All items","%","-0.4"
"Percentage Change over 12 months for Consumer Price Index","2017 July","All items","%","-0.1"
"Percentage Change over 12 months for Consumer Price Index","2017 August","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2017 September","All items","%","0.2"
"Percentage Change over 12 months for Consumer Price Index","2017 October","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2017 November","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2017 December","All items","%","0.4"
"Percentage Change over 12 months for Consumer Price Index","2018 January","All items","%","0.1"
"Percentage Change over 12 months for Consumer Price Index","2018 February","All items","%","0.4"
"Percentage Change over 12 months for Consumer Price Index","2018 March","All items","%","0.2"
"Percentage Change over 12 months for Consumer Price Index","2018 April","All items","%","-0.4"
"Percentage Change over 12 months for Consumer Price Index","2018 May","All items","%","0.5"
"Percentage Change over 12 months for Consumer Price Index","2018 June","All items","%","0.4"
"Percentage Change over 12 months for Consumer Price Index","2018 July","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2018 August","All items","%","0.6"
"Percentage Change over 12 months for Consumer Price Index","2018 September","All items","%","1"
"Percentage Change over 12 months for Consumer Price Index","2018 October","All items","%","1"
"Percentage Change over 12 months for Consumer Price Index","2018 November","All items","%","0.6"
"Percentage Change over 12 months for Consumer Price Index","2018 December","All items","%","0.6"
"Percentage Change over 12 months for Consumer Price Index","2019 January","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2019 February","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2019 March","All items","%","1.1"
"Percentage Change over 12 months for Consumer Price Index","2019 April","All items","%","1.6"
"Percentage Change over 12 months for Consumer Price Index","2019 May","All items","%","0.8"
"Percentage Change over 12 months for Consumer Price Index","2019 June","All items","%","1.1"
"Percentage Change over 12 months for Consumer Price Index","2019 July","All items","%","0.6"
"Percentage Change over 12 months for Consumer Price Index","2019 August","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2019 September","All items","%","0.8"
"Percentage Change over 12 months for Consumer Price Index","2019 October","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2019 November","All items","%","1.1"
"Percentage Change over 12 months for Consumer Price Index","2019 December","All items","%","1.3"
"Percentage Change over 12 months for Consumer Price Index","2020 January","All items","%","1.3"
"Percentage Change over 12 months for Consumer Price Index","2020 February","All items","%","1.1"
"Percentage Change over 12 months for Consumer Price Index","2020 March","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2020 April","All items","%","0"
"Percentage Change over 12 months for Consumer Price Index","2020 May","All items","%","-0.5"
"Percentage Change over 12 months for Consumer Price Index","2020 June","All items","%","-0.4"
"Percentage Change over 12 months for Consumer Price Index","2020 July","All items","%","-0.5"
"Percentage Change over 12 months for Consumer Price Index","2020 August","All items","%","-1.1"
"Percentage Change over 12 months for Consumer Price Index","2020 September","All items","%","-1.2"
"Percentage Change over 12 months for Consumer Price Index","2020 October","All items","%","-1.4"
"Percentage Change over 12 months for Consumer Price Index","2020 November","All items","%","-1.1"
"Percentage Change over 12 months for Consumer Price Index","2020 December","All items","%","-0.9"
"Percentage Change over 12 months for Consumer Price Index","2021 January","All items","%","-0.2"
"Percentage Change over 12 months for Consumer Price Index","2021 February","All items","%","-0.5"
"Percentage Change over 12 months for Consumer Price Index","2021 March","All items","%","0"
"Percentage Change over 12 months for Consumer Price Index","2021 April","All items","%","0.9"
"Percentage Change over 12 months for Consumer Price Index","2021 May","All items","%","1.8"
"Percentage Change over 12 months for Consumer Price Index","2021 June","All items","%","1.5"
"Percentage Change over 12 months for Consumer Price Index","2021 July","All items","%","2.1"
"Percentage Change over 12 months for Consumer Price Index","2021 August","All items","%","3"
"Percentage Change over 12 months for Consumer Price Index","2021 September","All items","%","3.7"
"Percentage Change over 12 months for Consumer Price Index","2021 October","All items","%","4.9"
"Percentage Change over 12 months for Consumer Price Index","2021 November","All items","%","5.3"
"Percentage Change over 12 months for Consumer Price Index","2021 December","All items","%","5.6"
"Percentage Change over 12 months for Consumer Price Index","2022 January","All items","%","5"
"Percentage Change over 12 months for Consumer Price Index","2022 February","All items","%","5.6"
"Percentage Change over 12 months for Consumer Price Index","2022 March","All items","%","6.7"
"Percentage Change over 12 months for Consumer Price Index","2022 April","All items","%","7"
"Percentage Change over 12 months for Consumer Price Index","2022 May","All items","%","7.8"
"Percentage Change over 12 months for Consumer Price Index","2022 June","All items","%","9.1"
"Percentage Change over 12 months for Consumer Price Index","2022 July","All items","%","9.2"
"Percentage Change over 12 months for Consumer Price Index","2022 August","All items","%","8.6"
"Percentage Change over 12 months for Consumer Price Index","2022 September","All items","%","8.3"
"Percentage Change over 12 months for Consumer Price Index","2022 October","All items","%","9.3"
"Percentage Change over 12 months for Consumer Price Index","2022 November","All items","%","9"
"Percentage Change over 12 months for Consumer Price Index","2022 December","All items","%","8.1"
"Percentage Change over 12 months for Consumer Price Index","2023 January","All items","%","7.7"
"Percentage Change over 12 months for Consumer Price Index","2023 February","All items","%","8.6"
"Percentage Change over 12 months for Consumer Price Index","2023 March","All items","%","7.6"
"Percentage Change over 12 months for Consumer Price Index","2023 April","All items","%","7.2"
"Percentage Change over 12 months for Consumer Price Index","2023 May","All items","%","6.6"
"Percentage Change over 12 months for Consumer Price Index","2023 June","All items","%","6.1"
"Percentage Change over 12 months for Consumer Price Index","2023 July","All items","%","5.9"
"Percentage Change over 12 months for Consumer Price Index","2023 August","All items","%","6.4"
"Percentage Change over 12 months for Consumer Price Index","2023 September","All items","%","6.4"
"Percentage Change over 12 months for Consumer Price Index","2023 October","All items","%","5"
"Percentage Change over 12 months for Consumer Price Index","2023 November","All items","%","3.9"
"Percentage Change over 12 months for Consumer Price Index","2023 December","All items","%","4.6"
"Percentage Change over 12 months for Consumer Price Index","2024 January","All items","%","4.1"
"Percentage Change over 12 months for Consumer Price Index","2024 February","All items","%","3.4"
"Percentage Change over 12 months for Consumer Price Index","2024 March","All items","%","2.9"
"Percentage Change over 12 months for Consumer Price Index","2024 April","All items","%","2.6"
"Percentage Change over 12 months for Consumer Price Index","2024 May","All items","%","2.6"
"Percentage Change over 12 months for Consumer Price Index","2024 June","All items","%","2.2"
"Percentage Change over 12 months for Consumer Price Index","2024 July","All items","%","2.2"
"Percentage Change over 12 months for Consumer Price Index","2024 August","All items","%","1.7"
"Percentage Change over 12 months for Consumer Price Index","2024 September","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2024 October","All items","%","0.7"
"Percentage Change over 12 months for Consumer Price Index","2024 November","All items","%","1"
"Percentage Change over 12 months for Consumer Price Index","2024 December","All items","%","1.4"
"Percentage Change over 12 months for Consumer Price Index","2025 January","All items","%","1.9"
"Percentage Change over 12 months for Consumer Price Index","2025 February","All items","%","1.8"
"Percentage Change over 12 months for Consumer Price Index","2025 March","All items","%","2"
"Percentage Change over 12 months for Consumer Price Index","2025 April","All items","%","2.2"
"Percentage Change over 12 months for Consumer Price Index","2025 May","All items","%","1.7"
"Percentage Change over 12 months for Consumer Price Index","2025 June","All items","%","1.8"
"Percentage Change over 12 months for Consumer Price Index","2025 July","All items","%","1.7"
"Percentage Change over 12 months for Consumer Price Index","2025 August","All items","%","2"
"Percentage Change over 12 months for Consumer Price Index","2025 September","All items","%","2.7"
"Percentage Change over 12 months for Consumer Price Index","2025 October","All items","%","2.9"
"Percentage Change over 12 months for Consumer Price Index","2025 November","All items","%","3.2"
