Year,Quarter,Period,Inflation_Rate
2010,1,2010 Q1,-3.37
2010,2,2010 Q2,-1.33
2010,3,2010 Q3,0.2
2010,4,2010 Q4,0.93
2011,1,2011 Q1,2.27
2011,2,2011 Q2,2.87
2011,3,2011 Q3,2.43
2011,4,2011 Q4,2.7
2012,1,2012 Q1,2.13
2012,2,2012 Q2,1.8
2012,3,2012 Q3,1.77
2012,4,2012 Q4,1.07
2013,1,2013 Q1,0.97
2013,2,2013 Q2,0.53
2013,3,2013 Q3,0.3
2013,4,2013 Q4,0.23
2014,1,2014 Q1,0.07
2014,2,2014 Q2,0.37
2014,3,2014 Q3,0.37
2014,4,2014 Q4,-0.03
2015,1,2015 Q1,-0.6
2015,2,2015 Q2,-0.43
2015,3,2015 Q3,-0.17
2015,4,2015 Q4,-0.07
2016,1,2016 Q1,-0.13
2016,2,2016 Q2,0.17
2016,3,2016 Q3,0.13
2016,4,2016 Q4,-0.07
2017,1,2017 Q1,0.57
2017,2,2017 Q2,0.23
2017,3,2017 Q3,0.2
2017,4,2017 Q4,0.47
2018,1,2018 Q1,0.23
2018,2,2018 Q2,0.17
2018,3,2018 Q3,0.77
2018,4,2018 Q4,0.73
2019,1,2019 Q1,0.83
2019,2,2019 Q2,1.17
2019,3,2019 Q3,0.7
2019,4,2019 Q4,1.03
2020,1,2020 Q1,1.03
2020,2,2020 Q2,-0.3
2020,3,2020 Q3,-0.93
2020,4,2020 Q4,-1.13
2021,1,2021 Q1,-0.23
2021,2,2021 Q2,1.4
2021,3,2021 Q3,2.93
2021,4,2021 Q4,5.27
2022,1,2022 Q1,5.77
2022,2,2022 Q2,7.97
2022,3,2022 Q3,8.7
2022,4,2022 Q4,8.8
2023,1,2023 Q1,7.97
2023,2,2023 Q2,6.63
2023,3,2023 Q3,6.23
2023,4,2023 Q4,4.5
2024,1,2024 Q1,3.47
2024,2,2024 Q2,2.47
2024,3,2024 Q3,1.53
2024,4,2024 Q4,1.03
2025,1,2025 Q1,1.9
2025,2,2025 Q2,1.9
2025,3,2025 Q3,2.13
2025,4,2025 Q4,3.05
