Year,Quarter,Period,Inflation_Rate
2025.0,1,2025.0 Q1,2.8043333333333336
2025.0,2,2025.0 Q2,3.487
2025.0,3,2025.0 Q3,3.8000000000000003
2025.0,4,2025.0 Q4,3.559
2024.0,1,2024.0 Q1,3.5399999999999996
2024.0,2,2024.0 Q2,2.0993333333333335
2024.0,3,2024.0 Q3,2.0433333333333334
2024.0,4,2024.0 Q4,2.468666666666667
2023.0,1,2023.0 Q1,10.174999999999999
2023.0,2,2023.0 Q2,8.429666666666666
2023.0,3,2023.0 Q3,6.712
2023.0,4,2023.0 Q4,4.178
2022.0,1,2022.0 Q1,6.218666666666667
2022.0,2,2022.0 Q2,9.168666666666667
2022.0,3,2022.0 Q3,10.022333333333334
2022.0,4,2022.0 Q4,10.750666666666667
2021.0,1,2021.0 Q1,0.6096666666666667
2021.0,2,2021.0 Q2,2.0516666666666663
2021.0,3,2021.0 Q3,2.7723333333333335
2021.0,4,2021.0 Q4,4.907333333333334
2020.0,1,2020.0 Q1,1.6673333333333333
2020.0,2,2020.0 Q2,0.6166666666666666
2020.0,3,2020.0 Q3,0.5973333333333334
2020.0,4,2020.0 Q4,0.5336666666666666
2019.0,1,2019.0 Q1,1.875
2019.0,2,2019.0 Q2,2.0479999999999996
2019.0,3,2019.0 Q3,1.8333333333333333
2019.0,4,2019.0 Q4,1.4133333333333333
2018.0,1,2018.0 Q1,2.7183333333333337
2018.0,2,2018.0 Q2,2.4166666666666665
2018.0,3,2018.0 Q3,2.515333333333334
2018.0,4,2018.0 Q4,2.268666666666667
2017.0,1,2017.0 Q1,2.143
2017.0,2,2017.0 Q2,2.7433333333333336
2017.0,3,2017.0 Q3,2.816333333333333
2017.0,4,2017.0 Q4,3.022
2016.0,1,2016.0 Q1,0.3463333333333333
2016.0,2,2016.0 Q2,0.35133333333333333
2016.0,3,2016.0 Q3,0.726
2016.0,4,2016.0 Q4,1.211
2015.0,1,2015.0 Q1,0.10099999999999998
2015.0,2,2015.0 Q2,-0.016666666666666666
2015.0,3,2015.0 Q3,0.009666666666666665
2015.0,4,2015.0 Q4,0.06733333333333334
2014.0,1,2014.0 Q1,1.7396666666666667
2014.0,2,2014.0 Q2,1.7206666666666666
2014.0,3,2014.0 Q3,1.4563333333333333
2014.0,4,2014.0 Q4,0.9356666666666666
2013.0,1,2013.0 Q1,2.776
2013.0,2,2013.0 Q2,2.68
2013.0,3,2013.0 Q3,2.709
2013.0,4,2013.0 Q4,2.103
2012.0,1,2012.0 Q1,3.4906666666666664
2012.0,2,2012.0 Q2,2.755333333333333
2012.0,3,2012.0 Q3,2.4133333333333336
2012.0,4,2012.0 Q4,2.6696666666666666
2011.0,1,2011.0 Q1,4.118333333333333
2011.0,2,2011.0 Q2,4.3773333333333335
2011.0,3,2011.0 Q3,4.705333333333333
2011.0,4,2011.0 Q4,4.647666666666667
2010.0,1,2010.0 Q1,3.2753333333333337
2010.0,2,2010.0 Q2,3.4576666666666664
2010.0,3,2010.0 Q3,3.0853333333333333
2010.0,4,2010.0 Q4,3.3753333333333333
